,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,002670,国盛金控,2786.613,0.0678,,0.1164,18.0172
1,600421,ST仰帆,44.8558,-0.0306,,-0.0421,-4.7436
2,000627,天茂集团,36.0597,0.0698,7.8511,0.0827,55.0752
3,600247,*ST成城,20.904,0.5464,21.4273,0.5686,69.4536
4,000611,天首发展,6.4621,0.0505,,0.0854,9.8383
5,600155,华创阳安,6.3148,0.013000000000000001,4.7562,0.0214,2.6702
6,300189,神农基因,4.1458,0.278,,2.1006,293.631
7,300059,东方财富,4.1198,0.065,5.2532,0.0984,12.0816
8,000667,美好置业,3.9335,0.0762,9.3219,0.1183,16.6246
9,000046,泛海控股,3.5734,0.0206,3.0219,0.024,3.8211
10,000897,津滨发展,3.2752,0.0344,,0.0432,5.3606
11,600790,轻纺城,3.0895,0.1452,6.1207,0.3063,32.7081
12,600053,九鼎投资,2.8571,0.2036,11.4048,0.3317,42.0323
13,000616,海航投资,2.7871,0.0246,,0.0423,6.436
14,600077,宋都股份,2.0076,0.109,21.2885,0.1369,16.3277
15,600515,海航基础,1.9943,0.0598,5.7615,0.1104,15.6065
16,300023,宝德股份,1.8781,0.0705,26.987,0.0846,8.9997
17,000576,广东甘化,1.6964,0.257,,4.7885,479.9504
18,000809,铁岭新城,1.6893,0.0034,3.5705,0.0073,1.5657
19,002305,南国置业,1.5279,0.0387,14.7874,0.0487,8.4554
20,300291,华录百纳,1.3933,0.0669,,0.7279,72.8035
21,600318,新力金融,1.2813,0.0602,3.9697,0.0933,14.1257
22,000720,*ST新能,1.2778,0.157,1.6232,0.2238,32.5949
23,600598,北大荒,1.2429,0.24100000000000002,3.0421,0.7372,76.3966
24,600565,迪马股份,1.2022,0.0659,19.4264,0.0788,9.7082
25,000558,莱茵体育,1.1927,0.1829,22.6174,0.3629,54.6737
26,002679,福建金森,1.1128,0.0391,6.316,0.0693,15.7437
27,000014,沙河股份,1.0799,0.0797,38.4725,0.1544,16.9899
28,000863,三湘印象,1.0764,0.0718,59.7515,0.1315,32.1205
29,600962,国投中鲁,1.0651,0.2884,53.8167,0.8519,105.6415
30,300295,三六五网,1.0243,0.1405,4.0524,0.5684,56.8425
31,002167,东方锆业,0.9699,0.1119,23.184,0.1801,26.0904
32,600251,冠农股份,0.9053,0.2724,11.4643,0.608,69.5812
33,600777,新潮能源,0.8999,0.0836,8.0135,0.2117,70.3667
34,002039,黔源电力,0.8564,0.0544,3.9734,0.0741,28.9497
35,600506,香梨股份,0.8121,0.0631,,1.1938,428.4138
36,000506,中润资源,0.8091,0.0666,,0.1154,12.2962
37,000886,海南高速,0.8081,0.0644,2.8501,0.3471,38.1177
38,000736,中交地产,0.7845,0.0691,5.6861,0.0777,10.1959
39,603797,联泰环保,0.7712,0.0254,2.3409999999999997,0.0369,13.2214
40,600368,五洲交通,0.7647,0.0605,2.6989,0.0889,26.0059
41,000036,华联控股,0.7582,0.1062,2.6849,0.20800000000000002,31.1788
42,000890,法尔胜,0.7523,0.0855,17.180999999999997,0.0955,10.2283
43,002618,丹邦科技,0.7259,0.049,7.2246,0.1575,25.2247
44,600033,福建高速,0.7240000000000001,0.0528,1.8145,0.1343,25.4248
45,000655,*ST金岭,0.7229,0.1253,8.5255,1.2392,150.5602
46,000517,荣安地产,0.7138,0.0434,5.2265,0.0548,6.8049
